Buy Date,Symbol,Exchange,Buy Price,Current Price,Quantity,Initial Investment,Current Value,Profit/Loss Amount,Profit/Loss %
2026-05-21,BSR,HOSE,30900.0,29950.0,8,247200.0,239600.0,-7600.0,-3.074433656957929
2026-05-21,DCM,HOSE,41900.0,41500.0,5,209500.0,207500.0,-2000.0,-0.9546539379474941
2026-05-19,BSR,HOSE,33200.0,29950.0,30,996000.0,898500.0,-97500.0,-9.789156626506024
2026-05-19,PVP,HOSE,19650.0,18300.0,51,1002150.0,933300.0,-68850.0,-6.870229007633588
2026-05-15,BSR,HOSE,30600.0,29950.0,32,979200.0,958400.0,-20800.0,-2.1241830065359477
2026-05-12,PVT,HOSE,22750.0,23200.0,44,1001000.0,1020800.0,19800.0,1.9780219780219779
